date,keyword,interest_index,geo,timeframe
2025-01-26,ChatGPT,56,US,today 12-m
2025-02-02,ChatGPT,58,US,today 12-m
2025-02-09,ChatGPT,56,US,today 12-m
2025-02-16,ChatGPT,59,US,today 12-m
2025-02-23,ChatGPT,67,US,today 12-m
2025-03-02,ChatGPT,59,US,today 12-m
2025-03-09,ChatGPT,56,US,today 12-m
2025-03-16,ChatGPT,58,US,today 12-m
2025-03-23,ChatGPT,60,US,today 12-m
2025-03-30,ChatGPT,67,US,today 12-m
2025-04-06,ChatGPT,71,US,today 12-m
2025-04-13,ChatGPT,70,US,today 12-m
2025-04-20,ChatGPT,73,US,today 12-m
2025-04-27,ChatGPT,77,US,today 12-m
2025-05-04,ChatGPT,77,US,today 12-m
2025-05-11,ChatGPT,74,US,today 12-m
2025-05-18,ChatGPT,72,US,today 12-m
2025-05-25,ChatGPT,69,US,today 12-m
2025-06-01,ChatGPT,70,US,today 12-m
2025-06-08,ChatGPT,72,US,today 12-m
2025-06-15,ChatGPT,70,US,today 12-m
2025-06-22,ChatGPT,69,US,today 12-m
2025-06-29,ChatGPT,63,US,today 12-m
2025-07-06,ChatGPT,71,US,today 12-m
2025-07-13,ChatGPT,80,US,today 12-m
2025-07-20,ChatGPT,85,US,today 12-m
2025-07-27,ChatGPT,88,US,today 12-m
2025-08-03,ChatGPT,82,US,today 12-m
2025-08-10,ChatGPT,80,US,today 12-m
2025-08-17,ChatGPT,84,US,today 12-m
2025-08-24,ChatGPT,91,US,today 12-m
2025-08-31,ChatGPT,87,US,today 12-m
2025-09-07,ChatGPT,95,US,today 12-m
2025-09-14,ChatGPT,100,US,today 12-m
2025-09-21,ChatGPT,95,US,today 12-m
2025-09-28,ChatGPT,86,US,today 12-m
2025-10-05,ChatGPT,91,US,today 12-m
2025-10-12,ChatGPT,91,US,today 12-m
2025-10-19,ChatGPT,97,US,today 12-m
2025-10-26,ChatGPT,96,US,today 12-m
2025-11-02,ChatGPT,97,US,today 12-m
2025-11-09,ChatGPT,92,US,today 12-m
2025-11-16,ChatGPT,90,US,today 12-m
